language,country,main_group,subgroup,product-name,product-number,file-path
de,CH,control-systems,control-valves,mv6519,mv-6519,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv6519-ti-mv-6519-de.ashx?rev=494b6499e28d4d78873f42b0dc929e52
de,DE,control-systems,control-valves,mv6519,mv-6519,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv6519-ti-mv-6519-de.ashx?rev=494b6499e28d4d78873f42b0dc929e52
de,DE,control-systems,control-valves,mv867,mv867,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv867-ti-mv867-de.ashx?rev=4d389c35ab12469e95c8653497a5c25f
de,CH,control-systems,control-valves,mv867,mv867,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv867-ti-mv867-de.ashx?rev=4d389c35ab12469e95c8653497a5c25f
de,CH,control-systems,control-valves,mv_6213,mv-6213,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv_6213-ti-mv-6213-de.ashx?rev=4287d6d790494ffc877431ee7c72ff6f
de,DE,control-systems,control-valves,mv_6213,mv-6213,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv_6213-ti-mv-6213-de.ashx?rev=4287d6d790494ffc877431ee7c72ff6f
de,CH,boiler-controls-and-systems,level-controls,ngf24,ngf-24,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/ngf24-ti-ngf-24-de.ashx?rev=6ea8862fa58b41589a609d5ebbf068f3
de,DE,boiler-controls-and-systems,level-controls,ngf24,ngf-24,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/ngf24-ti-ngf-24-de.ashx?rev=6ea8862fa58b41589a609d5ebbf068f3
it,CH,control-systems,self-acting-controls,ns,p049-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/ns-ti-p049-01-it.ashx?rev=5f80dceb61524020bc2bee2d7536e036
it,IT,control-systems,self-acting-controls,ns,p049-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/ns-ti-p049-01-it.ashx?rev=5f80dceb61524020bc2bee2d7536e036
de,DE,control-systems,self-acting-controls,ns_rotguss,18021,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/ns_rotguss-ti-18021-de.ashx?rev=d1b843ea87234bc9969f14cb3a15ff76
